instance,prohibited_content
skj.ca,nudity_nocw
skj.ca,pornography_nocw
skj.ca,illegalContentLinks
skj.ca,spam
skj.ca,advertising
skj.ca,spoilers_nocw
kinky.business,nudity_nocw
kinky.business,pornography_nocw
kinky.business,illegalContentLinks
kinky.business,spam
kinky.business,advertising
insoumis.social,illegalContentLinks
mstdn.plus,nudity_nocw
mstdn.plus,nudity_all
mstdn.plus,pornography_nocw
mstdn.plus,pornography_all
mstdn.plus,illegalContentLinks
mstdn.plus,spam
mastodont.cat,nudity_nocw
mastodont.cat,pornography_nocw
mastodont.cat,pornography_all
mastodont.cat,illegalContentLinks
mastodont.cat,spam
mastodont.cat,advertising
mastodont.cat,spoilers_nocw
eletusk.club,nudity_nocw
eletusk.club,nudity_all
eletusk.club,pornography_nocw
eletusk.club,pornography_all
eletusk.club,illegalContentLinks
eletusk.club,spam
eletusk.club,advertising
eletusk.club,spoilers_nocw
toot.works,nudity_nocw
toot.works,pornography_nocw
toot.works,illegalContentLinks
toot.works,spam
mastodon.mnetwork.co.kr,nudity_nocw
mastodon.mnetwork.co.kr,pornography_nocw
mastodon.mnetwork.co.kr,racism
mastodon.mnetwork.co.kr,illegalContentLinks
mastodon.mnetwork.co.kr,spam
mastodon.mnetwork.co.kr,advertising
mastodon.mnetwork.co.kr,hateSpeeches
mastodon.mnetwork.co.kr,harrassment
mastodon.mnetwork.co.kr,spoilers_nocw
dtp-mstdn.jp,nudity_nocw
dtp-mstdn.jp,pornography_nocw
dtp-mstdn.jp,pornography_all
dtp-mstdn.jp,illegalContentLinks
dtp-mstdn.jp,spam
dtp-mstdn.jp,advertising
dtp-mstdn.jp,spoilers_nocw
mstdn.mx,nudity_nocw
mstdn.mx,nudity_all
mstdn.mx,pornography_nocw
mstdn.mx,pornography_all
mstdn.mx,illegalContentLinks
mstdn.mx,spam
mstdn.mx,advertising
mstdn.mx,spoilers_nocw
linuxrocks.online,nudity_nocw
linuxrocks.online,nudity_all
linuxrocks.online,pornography_nocw
linuxrocks.online,pornography_all
linuxrocks.online,illegalContentLinks
linuxrocks.online,spam
august-don.site,nudity_nocw
august-don.site,pornography_nocw
august-don.site,spam
august-don.site,advertising
mastodon.uy,nudity_nocw
mastodon.uy,pornography_nocw
mastodon.uy,sexism
mastodon.uy,racism
mastodon.uy,illegalContentLinks
mastodon.uy,spam
mastodon.uy,advertising
mastodon.uy,hateSpeeches
mastodon.uy,harrassment
precure.ml,nudity_nocw
precure.ml,nudity_all
precure.ml,pornography_nocw
precure.ml,pornography_all
precure.ml,illegalContentLinks
precure.ml,spam
precure.ml,advertising
precure.ml,spoilers_nocw
mastodon.nl,nudity_nocw
mastodon.nl,nudity_all
mastodon.nl,pornography_nocw
mastodon.nl,pornography_all
mastodon.nl,illegalContentLinks
mastodon.nl,spam
lgbt.io,nudity_nocw
lgbt.io,pornography_nocw
lgbt.io,illegalContentLinks
lgbt.io,spam
lgbt.io,advertising
lgbt.io,spoilers_nocw
mstdn-bike.net,nudity_nocw
mstdn-bike.net,nudity_all
mstdn-bike.net,pornography_nocw
mstdn-bike.net,pornography_all
mstdn-bike.net,sexism
mstdn-bike.net,racism
mstdn-bike.net,illegalContentLinks
mstdn-bike.net,spam
mstdn-bike.net,advertising
mstdn-bike.net,hateSpeeches
mstdn-bike.net,harrassment
mstdn-bike.net,spoilers_nocw
kurage.cc,nudity_nocw
kurage.cc,nudity_all
kurage.cc,pornography_nocw
kurage.cc,pornography_all
kurage.cc,sexism
kurage.cc,racism
kurage.cc,illegalContentLinks
kurage.cc,spam
kurage.cc,advertising
kurage.cc,hateSpeeches
kurage.cc,harrassment
kurage.cc,spoilers_nocw
mastodon.social,nudity_nocw
mastodon.social,pornography_nocw
mastodon.social,illegalContentLinks
mastodon.social,spam
mastodon.social,advertising
mastodos.com,nudity_nocw
mastodos.com,nudity_all
mastodos.com,pornography_nocw
mastodos.com,illegalContentLinks
mastodos.com,spam
todon.nl,nudity_nocw
todon.nl,pornography_nocw
todon.nl,pornography_all
todon.nl,spam
todon.nl,advertising
todon.nl,spoilers_nocw
elekk.xyz,nudity_nocw
elekk.xyz,pornography_nocw
elekk.xyz,illegalContentLinks
elekk.xyz,spam
toot.blue,spam
equestria.social,nudity_nocw
equestria.social,pornography_nocw
equestria.social,illegalContentLinks
equestria.social,spam
equestria.social,spoilers_nocw
mastodon.kebree.fr,illegalContentLinks
mastodon.kebree.fr,advertising
mstdn.wildtree.jp,nudity_all
mstdn.wildtree.jp,pornography_all
mstdn.wildtree.jp,sexism
mstdn.wildtree.jp,racism
mstdn.wildtree.jp,illegalContentLinks
mstdn.wildtree.jp,spam
mstdn.wildtree.jp,advertising
mstdn.wildtree.jp,hateSpeeches
mstdn.wildtree.jp,harrassment
mstdn.wildtree.jp,spoilers_nocw
ieji.de,nudity_nocw
ieji.de,pornography_nocw
ieji.de,illegalContentLinks
ieji.de,spam
ieji.de,advertising
ieji.de,spoilers_nocw
gingadon.com,nudity_nocw
gingadon.com,pornography_nocw
gingadon.com,pornography_all
gingadon.com,sexism
gingadon.com,racism
gingadon.com,illegalContentLinks
gingadon.com,spam
gingadon.com,advertising
gingadon.com,hateSpeeches
gingadon.com,harrassment
gingadon.com,spoilers_nocw
mastodon.acc.sunet.se,nudity_nocw
mastodon.acc.sunet.se,pornography_nocw
mastodon.acc.sunet.se,pornography_all
mastodon.acc.sunet.se,illegalContentLinks
mastodon.acc.sunet.se,spam
mastodon.acc.sunet.se,advertising
coales.co,nudity_nocw
coales.co,pornography_nocw
coales.co,illegalContentLinks
coales.co,spam
coales.co,spoilers_nocw
acg.mn,nudity_all
acg.mn,pornography_all
acg.mn,illegalContentLinks
acg.mn,spam
acg.mn,advertising
acg.mn,spoilers_nocw
nagoyadon.jp,nudity_nocw
nagoyadon.jp,nudity_all
nagoyadon.jp,pornography_nocw
nagoyadon.jp,pornography_all
nagoyadon.jp,illegalContentLinks
nagoyadon.jp,spam
nagoyadon.jp,advertising
nagoyadon.jp,spoilers_nocw
mstdn.mini4wd-engineer.com,nudity_nocw
mstdn.mini4wd-engineer.com,pornography_nocw
mstdn.mini4wd-engineer.com,illegalContentLinks
rubber.social,nudity_nocw
rubber.social,pornography_nocw
rubber.social,illegalContentLinks
rubber.social,spam
rubber.social,advertising
rubber.social,spoilers_nocw
metalhead.club,nudity_nocw
metalhead.club,pornography_nocw
metalhead.club,pornography_all
metalhead.club,illegalContentLinks
metalhead.club,spam
this.mouse.rocks,nudity_nocw
this.mouse.rocks,pornography_nocw
this.mouse.rocks,sexism
this.mouse.rocks,racism
this.mouse.rocks,spam
this.mouse.rocks,advertising
this.mouse.rocks,hateSpeeches
this.mouse.rocks,harrassment
iwatedon.net,nudity_nocw
iwatedon.net,nudity_all
iwatedon.net,pornography_nocw
iwatedon.net,pornography_all
iwatedon.net,sexism
iwatedon.net,racism
iwatedon.net,illegalContentLinks
iwatedon.net,spam
iwatedon.net,advertising
iwatedon.net,hateSpeeches
iwatedon.net,harrassment
iwatedon.net,spoilers_nocw
mastodon.com.pl,nudity_nocw
mastodon.com.pl,pornography_nocw
wug.fun,nudity_nocw
wug.fun,pornography_nocw
wug.fun,illegalContentLinks
wug.fun,spam
esperanto.masto.host,nudity_nocw
esperanto.masto.host,pornography_nocw
esperanto.masto.host,sexism
esperanto.masto.host,racism
esperanto.masto.host,spam
esperanto.masto.host,advertising
esperanto.masto.host,hateSpeeches
esperanto.masto.host,harrassment
esperanto.masto.host,spoilers_nocw
toot.si,nudity_nocw
toot.si,nudity_all
toot.si,pornography_nocw
toot.si,pornography_all
toot.si,illegalContentLinks
toot.si,spam
toot.si,advertising
toot.si,spoilers_nocw
pokemon.mastportal.info,spam
qdon.space,nudity_nocw
qdon.space,pornography_nocw
qdon.space,spam
qdon.space,advertising
bangdream.space,pornography_nocw
muenster.im,nudity_all
muenster.im,pornography_nocw
muenster.im,pornography_all
muenster.im,illegalContentLinks
muenster.im,spam
muenster.im,advertising
muenster.im,spoilers_nocw
scicomm.xyz,nudity_nocw
scicomm.xyz,pornography_nocw
scicomm.xyz,pornography_all
scicomm.xyz,spam
scicomm.xyz,advertising
mastodon.gamedev.place,nudity_nocw
mastodon.gamedev.place,pornography_nocw
mastodon.gamedev.place,pornography_all
mastodon.gamedev.place,illegalContentLinks
mastodon.gamedev.place,spam
mastodon.gamedev.place,advertising
tech.lgbt,nudity_nocw
tech.lgbt,pornography_nocw
tech.lgbt,illegalContentLinks
tech.lgbt,spam
planet.moe,nudity_nocw
planet.moe,pornography_nocw
planet.moe,pornography_all
planet.moe,illegalContentLinks
planet.moe,spam
planet.moe,spoilers_nocw
hispagatos.space,nudity_nocw
hispagatos.space,nudity_all
hispagatos.space,pornography_nocw
hispagatos.space,pornography_all
hispagatos.space,spam
hispagatos.space,advertising
wxw.moe,nudity_nocw
wxw.moe,pornography_nocw
wxw.moe,pornography_all
wxw.moe,illegalContentLinks
wxw.moe,spam
wxw.moe,advertising
wxw.moe,spoilers_nocw
social.chinwag.org,nudity_nocw
social.chinwag.org,pornography_nocw
social.chinwag.org,spam
social.chinwag.org,advertising
social.chinwag.org,spoilers_nocw
ruhr.social,nudity_nocw
ruhr.social,pornography_nocw
ruhr.social,illegalContentLinks
ruhr.social,spam
ruhr.social,advertising
ruhr.social,spoilers_nocw
mamut.social,nudity_nocw
mamut.social,pornography_nocw
mamut.social,pornography_all
mamut.social,illegalContentLinks
mamut.social,spam
mamut.social,advertising
gamemaking.social,nudity_nocw
gamemaking.social,pornography_nocw
gamemaking.social,spam
gamemaking.social,advertising
pouet.chapril.org,nudity_nocw
pouet.chapril.org,pornography_nocw
pouet.chapril.org,illegalContentLinks
pouet.chapril.org,spam
layer8.space,nudity_nocw
layer8.space,pornography_nocw
layer8.space,spam
layer8.space,advertising
donphan.social,nudity_nocw
donphan.social,pornography_nocw
donphan.social,illegalContentLinks
donphan.social,spam
donphan.social,advertising
donphan.social,spoilers_nocw
djs.social,nudity_nocw
djs.social,nudity_all
djs.social,pornography_nocw
djs.social,pornography_all
djs.social,illegalContentLinks
djs.social,spam
djs.social,advertising
djs.social,spoilers_nocw
glaceon.social,nudity_nocw
glaceon.social,pornography_nocw
glaceon.social,spam
vis.social,pornography_nocw
